Date,Store,Product,Price,Quantity,Total Sales,Audit_Date,Audit_Store,Audit_Product,Audit_Price
2025-11-25,North Butcher,Beef,174.84,11.0,1923.24,,,,
2025-05-27,Fine Cuts MX,Unknown,143.09,19.0,2718.71,,,Unknown,
2025-12-23,Happy Cow,Chicken,634.44,3.0,1903.32,,,,
2025-11-01,The Little Bull,Beef,151.11,10.0,1511.1,,,,
2026-01-05,North Butcher,Beef,128.61,15.0,1929.15,,,,
2025-09-18,Happy Cow,Chicken,153.38,3.0,460.14,,,,
2025-05-27,Super Meats,Skirt Steak,78.76,9.0,708.84,,,,
2025-06-16,North Butcher,Skirt Steak,119.97,15.0,1799.55,,,,
2026-03-06,Happy Cow,Ribs,135.42,8.0,1083.36,,,,
2025-12-24,Super Meats,Sausage,191.13,2.0,382.26,,,,
2026-01-27,Happy Cow,Sausage,88.96,4.0,355.84,,,,
2026-04-04,Super Meats,Pork,160.93,16.0,2574.88,,,,
2025-07-14,North Butcher,Chicken,194.09,8.0,1552.72,,,,
2025-12-20,The Little Bull,Pork,267.04,13.0,3471.52,,,,
2025-11-25,Fine Cuts MX,Beef,71.85,11.0,790.35,,,,
2025-05-19,North Butcher,Sausage,110.22,3.0,330.66,,,,
2025-11-20,North Butcher,Pork,108.04,7.0,756.28,,,,
2025-11-22,Fine Cuts MX,Skirt Steak,134.54,1.0,134.54,,,,
2025-12-31,Fine Cuts MX,Beef,208.99,8.0,1671.92,,,,
2025-12-30,The Little Bull,Skirt Steak,105.09,3.0,315.27,,,,
2025-08-20,North Butcher,Skirt Steak,226.9,15.0,3403.5,,,,
2025-08-28,Fine Cuts MX,Ribs,157.52,17.0,2677.84,,,,
2026-03-09,Super Meats,Pork,144.33,5.0,721.65,,,,
2026-04-07,Super Meats,Chicken,110.54,7.0,773.78,,,,
2025-07-07,North Butcher,Beef,187.19,2.0,374.38,,,,
2026-03-30,Happy Cow,Pork,144.74,12.0,1736.88,,,,
2025-07-30,North Butcher,Chicken,102.23,11.0,1124.53,,,,
2025-07-08,North Butcher,Sausage,186.2,1.0,186.2,,,,
2025-09-09,Fine Cuts MX,Chicken,17.24,5.0,86.2,,,,
2025-12-31,Fine Cuts MX,Pork,167.28,15.0,2509.2,,,,
2026-04-25,Happy Cow,Ribs,45.42,17.0,772.14,,,,
2026-04-22,Fine Cuts MX,Ribs,213.19,7.0,1492.33,,,,
2025-06-08,North Butcher,Skirt Steak,153.01,5.0,765.05,,,,
2026-02-25,Happy Cow,Skirt Steak,273.16,2.0,546.32,,,,
2025-04-27,Happy Cow,Chicken,257.94,11.0,2837.34,,,,
2026-04-22,The Little Bull,Sausage,211.59,6.0,1269.54,,,,
2025-07-21,Fine Cuts MX,Ribs,179.34,16.0,2869.44,,,,
2025-11-30,Super Meats,Chicken,259.52,6.0,1557.12,,,,
,Fine Cuts MX,Beef,95.16,3.0,285.48,Missing Date,,,
2025-06-20,Happy Cow,Beef,115.88,7.0,811.16,,,,
2025-06-28,Fine Cuts MX,Sausage,181.03,1.0,181.03,,,,
2025-06-12,Fine Cuts MX,Beef,141.95,18.0,2555.1,,,,
2025-12-09,Happy Cow,Skirt Steak,190.68,16.0,3050.88,,,,
,Fine Cuts MX,Chicken,88.46,2.0,176.92,Missing Date,,,
2026-04-25,The Little Bull,Sausage,200.02,9.0,1800.18,,,,
2025-11-23,Unknown,Chicken,157.62,16.0,2521.92,,Unknown,,
2025-08-29,Fine Cuts MX,Chicken,180.88,11.0,1989.68,,,,
2025-07-26,Super Meats,Pork,164.65,18.0,2963.7,,,,
2026-02-16,Super Meats,Sausage,114.28,3.0,342.84,,,,
2026-02-13,Super Meats,Sausage,101.27,16.0,1620.32,,,,
2025-07-08,Fine Cuts MX,Chicken,189.35,7.0,1325.45,,,,
2026-03-01,Happy Cow,Unknown,181.71,14.0,2543.94,,,Unknown,
2025-11-10,The Little Bull,Beef,303.05,19.0,5757.95,,,,
2025-12-11,North Butcher,Beef,150.65,15.0,2259.75,,,,
2026-01-19,The Little Bull,Skirt Steak,96.46,14.0,1350.44,,,,
2025-06-09,North Butcher,Unknown,174.12,9.0,1567.08,,,Unknown,
2025-06-21,The Little Bull,Skirt Steak,255.94,1.0,255.94,,,,
,The Little Bull,Skirt Steak,227.33,1.0,227.33,Missing Date,,,
2025-09-29,Fine Cuts MX,Skirt Steak,185.51,3.0,556.53,,,,
2026-01-04,North Butcher,Ribs,154.62,15.0,2319.3,,,,
2025-11-05,North Butcher,Ribs,202.87,17.0,3448.79,,,,
2025-07-29,Super Meats,Unknown,152.57,16.0,2441.12,,,Unknown,
2025-05-01,Unknown,Chicken,124.48,4.0,497.92,,Unknown,,
2025-11-24,Super Meats,Chicken,182.57,2.0,365.14,,,,
2025-04-26,Super Meats,Beef,148.02,17.0,2516.34,,,,
2025-08-10,Fine Cuts MX,Ribs,123.27,11.0,1355.97,,,,
2026-01-28,Super Meats,Skirt Steak,114.23,5.0,571.15,,,,
2026-03-07,Happy Cow,Chicken,183.98,15.0,2759.7,,,,
2025-12-26,Fine Cuts MX,Chicken,84.6,5.0,423.0,,,,
,Super Meats,Skirt Steak,50.47,9.0,454.23,Missing Date,,,
2025-08-15,North Butcher,Skirt Steak,144.23,16.0,2307.68,,,,
2025-10-07,Fine Cuts MX,Sausage,191.59,1.0,191.59,,,,
2026-01-26,North Butcher,Beef,256.11,3.0,768.33,,,,
2026-01-01,Fine Cuts MX,Pork,201.62,5.0,1008.1,,,,
2026-04-19,Happy Cow,Beef,184.95,4.0,739.8,,,,
