Date,Store,Product,Price,Quantity,Total Sales,Audit Notes
2025-11-25,North Butcher,Beef,$174.84,11,$1923.24,
2025-05-27,Fine Cuts Mx,Unknown,$143.09,19,$2718.71,
2025-12-23,Happy Cow,Chicken,$634.44,3,$1903.32,
2025-11-01,The Little Bull,Beef,$151.11,10,$1511.10,
2026-01-05,North Butcher,Beef,$128.61,15,$1929.15,
2025-09-18,Happy Cow,Chicken,$153.38,3,$460.14,
2025-05-27,Super Meats,Skirt Steak,$78.76,9,$708.84,
2025-06-16,North Butcher,Skirt Steak,$119.97,15,$1799.55,
2026-03-06,Happy Cow,Ribs,$135.42,8,$1083.36,
2025-12-24,Super Meats,Sausage,$191.13,2,$382.26,
2026-01-27,Happy Cow,Sausage,$88.96,4,$355.84,
2026-04-04,Super Meats,Pork,$160.93,16,$2574.88,
2025-07-14,North Butcher,Chicken,$194.09,8,$1552.72,
2025-12-20,The Little Bull,Pork,$267.04,13,$3471.52,
2025-11-25,Fine Cuts Mx,Beef,$71.85,11,$790.35,
2025-05-19,North Butcher,Sausage,$110.22,3,$330.66,
2025-11-20,North Butcher,Pork,$108.04,7,$756.28,
2025-11-22,Fine Cuts Mx,Skirt Steak,$134.54,1,$134.54,
2025-12-31,Fine Cuts Mx,Beef,$208.99,8,$1671.92,
2025-12-30,The Little Bull,Skirt Steak,$105.09,3,$315.27,
2025-08-20,North Butcher,Skirt Steak,$226.90,15,$3403.50,
2025-08-28,Fine Cuts Mx,Ribs,$157.52,17,$2677.84,
2026-03-09,Super Meats,Pork,$144.33,5,$721.65,
2026-04-07,Super Meats,Chicken,$110.54,7,$773.78,
2025-07-07,North Butcher,Beef,$187.19,2,$374.38,
2026-03-30,Happy Cow,Pork,$144.74,12,$1736.88,
2025-07-30,North Butcher,Chicken,$102.23,11,$1124.53,
2025-07-08,North Butcher,Sausage,$186.20,1,$186.20,
2025-09-09,Fine Cuts Mx,Chicken,$17.24,5,$86.20,
2025-12-31,Fine Cuts Mx,Pork,$167.28,15,$2509.20,
2026-04-25,Happy Cow,Ribs,$45.42,17,$772.14,
2026-04-22,Fine Cuts Mx,Ribs,$213.19,7,$1492.33,
2025-06-08,North Butcher,Skirt Steak,$153.01,5,$765.05,
2026-02-25,Happy Cow,Skirt Steak,$273.16,,$546.32,
2025-04-27,Happy Cow,Chicken,$257.94,11,$2837.34,
2026-04-22,The Little Bull,Sausage,$211.59,6,$1269.54,
2025-07-21,Fine Cuts Mx,Ribs,$179.34,16,$2869.44,
2025-11-30,Super Meats,Chicken,$259.52,6,$1557.12,
,Fine Cuts Mx,Beef,$95.16,3,$285.48,🚨 Missing Date - Flagged for Review
2025-06-20,Happy Cow,Beef,$115.88,7,$811.16,
2025-06-28,Fine Cuts Mx,Sausage,$181.03,1,$181.03,
2025-06-12,Fine Cuts Mx,Beef,$141.95,18,$2555.10,
2025-12-09,Happy Cow,Skirt Steak,$190.68,16,$3050.88,
,Fine Cuts Mx,Chicken,$88.46,2,$176.92,🚨 Missing Date - Flagged for Review
2026-04-25,The Little Bull,Sausage,$200.02,9,$1800.18,
2025-11-23,Unknown,Chicken,$157.62,16,$2521.92,
2025-08-29,Fine Cuts Mx,Chicken,$180.88,11,$1989.68,
2025-07-26,Super Meats,Pork,$164.65,18,$2963.70,
2026-02-16,Super Meats,Sausage,$114.28,3,$342.84,
2026-02-13,Super Meats,Sausage,$101.27,16,$1620.32,
2025-07-08,Fine Cuts Mx,Chicken,$189.35,7,$1325.45,
2026-03-01,Happy Cow,Unknown,$181.71,14,$2543.94,
2025-11-10,The Little Bull,Beef,$303.05,19,$5757.95,
2025-12-11,North Butcher,Beef,$150.65,15,$2259.75,
2026-01-19,The Little Bull,Skirt Steak,$96.46,14,$1350.44,
2025-06-09,North Butcher,Unknown,$174.12,9,$1567.08,
2025-06-21,The Little Bull,Skirt Steak,$255.94,1,$255.94,
,The Little Bull,Skirt Steak,$227.33,1,$227.33,🚨 Missing Date - Flagged for Review
2025-09-29,Fine Cuts Mx,Skirt Steak,$185.51,3,$556.53,
2026-01-04,North Butcher,Ribs,$154.62,15,$2319.30,
2025-11-05,North Butcher,Ribs,$202.87,17,$3448.79,
2025-07-29,Super Meats,Unknown,$152.57,16,$2441.12,
2025-05-01,Unknown,Chicken,$124.48,4,$497.92,
2025-11-24,Super Meats,Chicken,$182.57,2,$365.14,
2025-04-26,Super Meats,Beef,$148.02,17,$2516.34,
2025-08-10,Fine Cuts Mx,Ribs,$123.27,11,$1355.97,
2026-01-28,Super Meats,Skirt Steak,$114.23,5,$571.15,
2026-03-07,Happy Cow,Chicken,$183.98,15,$2759.70,
2025-12-26,Fine Cuts Mx,Chicken,$84.60,5,$423.00,
,Super Meats,Skirt Steak,$50.47,9,$454.23,🚨 Missing Date - Flagged for Review
2025-08-15,North Butcher,Skirt Steak,$144.23,16,$2307.68,
2025-10-07,Fine Cuts Mx,Sausage,$191.59,1,$191.59,
2026-01-26,North Butcher,Beef,$256.11,3,$768.33,
2026-01-01,Fine Cuts Mx,Pork,$201.62,5,$1008.10,
2026-04-19,Happy Cow,Beef,$184.95,4,$739.80,
2025-05-03,Happy Cow,Skirt Steak,$179.99,10,$1799.90,
2025-07-25,North Butcher,Beef,$150.09,5,$750.45,
2026-01-17,Happy Cow,Chicken,$182.36,12,$2188.32,
2025-06-07,The Little Bull,Skirt Steak,$156.30,1,$156.30,
2025-11-30,Happy Cow,Pork,$206.85,8,$1654.80,
2025-10-29,Super Meats,Skirt Steak,$172.34,13,$2240.42,
2025-05-11,The Little Bull,Chicken,$155.51,17,$2643.67,
2025-09-24,Fine Cuts Mx,Sausage,$118.89,18,$2140.02,
2025-09-20,Fine Cuts Mx,Sausage,$132.23,4,$528.92,
2025-07-17,Super Meats,Sausage,$39.16,,$117.48,
2025-08-16,North Butcher,Chicken,$219.48,18,$3950.64,
2025-12-02,Unknown,Beef,$159.02,12,$1908.24,
2025-10-04,Fine Cuts Mx,Beef,$203.55,3,$610.65,
2025-06-30,Super Meats,Skirt Steak,$215.27,13,$2798.51,
2025-10-03,Happy Cow,Skirt Steak,$151.05,12,$1812.60,
2026-01-27,Happy Cow,Beef,$169.60,19,$3222.40,
2026-03-24,North Butcher,Ribs,$143.77,5,$718.85,
2025-06-05,North Butcher,Chicken,$207.91,16,$3326.56,
,North Butcher,Beef,$189.58,10,$1895.80,
2025-05-24,Fine Cuts Mx,Beef,$240.68,15,$3610.20,
2025-12-04,Super Meats,Chicken,$170.23,12,$2042.76,
2025-09-16,Fine Cuts Mx,Ribs,$78.03,9,$702.27,
2025-05-31,The Little Bull,Chicken,$130.83,5,$654.15,
2025-06-08,Super Meats,Chicken,$203.03,17,$3451.51,
2025-08-25,Super Meats,Skirt Steak,$161.87,4,$647.48,
2025-10-23,The Little Bull,Chicken,$33.02,7,$231.14,
2025-12-15,The Little Bull,Sausage,$132.42,7,$926.94,
2026-01-17,Happy Cow,Beef,$222.19,8,$1777.52,
2026-01-08,North Butcher,Ribs,$54.25,1,$54.25,
2025-05-29,The Little Bull,Pork,$122.54,1,$122.54,
2025-08-31,The Little Bull,Sausage,$27.04,12,$324.48,
2026-02-23,The Little Bull,Ribs,$136.63,11,$1502.93,
2026-01-26,North Butcher,Beef,$222.56,1,$222.56,
2025-06-29,Unknown,Ribs,$197.96,16,$3167.36,
,Fine Cuts Mx,Beef,$106.22,8,$849.76,
2025-06-21,Happy Cow,Chicken,$138.26,8,$1106.08,
2025-10-20,Happy Cow,Skirt Steak,$54.36,13,$706.68,
2025-08-19,The Little Bull,Chicken,$168.12,14,$2353.68,
2025-11-19,The Little Bull,Chicken,$234.23,2,$468.46,
2026-03-06,Fine Cuts Mx,Sausage,$63.48,,$825.24,
2025-07-08,Happy Cow,Beef,$144.60,15,$2169.00,
2026-01-04,The Little Bull,Skirt Steak,$226.36,17,$3848.12,
2025-04-30,North Butcher,Beef,$70.28,16,$1124.48,
2026-01-16,Super Meats,Beef,$120.03,5,$600.15,
2025-06-25,North Butcher,Chicken,$225.81,5,$1129.05,
2025-06-20,Happy Cow,Sausage,$165.62,14,$2318.68,
2025-07-29,The Little Bull,Sausage,$106.39,1,$106.39,
2025-08-02,Happy Cow,Sausage,$582.25,8,$4658.00,
2025-09-08,Happy Cow,Sausage,$213.77,18,$3847.86,
2025-11-04,North Butcher,Sausage,$145.42,5,$727.10,
2025-10-22,Fine Cuts Mx,Sausage,$121.84,15,$1827.60,
2025-05-10,Fine Cuts Mx,Sausage,$276.96,11,$3046.56,
2025-07-29,Super Meats,Ribs,$63.46,19,$1205.74,
2026-01-16,The Little Bull,Chicken,$222.22,6,$1333.32,
2025-07-29,Happy Cow,Beef,$55.81,17,$948.77,
2025-07-23,Super Meats,Ribs,$169.20,2,$338.40,
2025-07-26,Super Meats,Beef,$148.37,16,$2373.92,
2026-01-20,North Butcher,Skirt Steak,$94.91,8,$759.28,
2026-04-02,The Little Bull,Skirt Steak,$152.19,18,$2739.42,
2025-10-24,Super Meats,Chicken,$203.68,5,$1018.40,
2026-01-31,North Butcher,Skirt Steak,$152.54,5,$762.70,
2025-06-13,North Butcher,Unknown,$125.57,2,$251.14,
2025-11-05,North Butcher,Skirt Steak,$118.74,,$1781.10,
2025-09-17,North Butcher,Ribs,$136.32,11,$1499.52,
,Happy Cow,Unknown,$192.57,17,$3273.69,
2025-05-15,North Butcher,Skirt Steak,$118.98,15,$1784.70,
2025-09-16,Happy Cow,Skirt Steak,$74.24,2,$148.48,
2025-12-31,Super Meats,Beef,$303.94,13,$3951.22,
2026-02-08,The Little Bull,Ribs,$205.98,19,$3913.62,
2025-09-17,Super Meats,Unknown,$140.65,17,$2391.05,
2025-11-21,Super Meats,Pork,$147.61,12,$1771.32,
2025-11-12,Fine Cuts Mx,Chicken,$41.17,9,$370.53,
2025-12-18,Fine Cuts Mx,Chicken,$130.45,15,$1956.75,
2025-08-06,Fine Cuts Mx,Sausage,$223.97,10,$2239.70,
,Happy Cow,Ribs,$249.31,2,$498.62,
2025-07-14,Fine Cuts Mx,Sausage,$174.83,6,$1048.98,
2025-07-09,Fine Cuts Mx,Beef,$140.29,11,$1543.19,
2025-09-14,North Butcher,Sausage,$158.70,11,$1745.70,
2025-07-07,Super Meats,Skirt Steak,$195.39,17,$3321.63,
2025-05-12,North Butcher,Beef,$178.32,11,$1961.52,
2025-09-30,Super Meats,Chicken,$191.59,12,$2299.08,
2025-10-29,Super Meats,Pork,$104.52,17,$1776.84,
2025-09-25,Happy Cow,Pork,$181.93,14,$2547.02,
2025-07-22,Unknown,Chicken,$146.70,11,$1613.70,
2025-07-21,Fine Cuts Mx,Pork,$89.45,10,$894.50,
2026-03-08,Happy Cow,Sausage,$181.33,44,$7978.52,
2025-10-05,Fine Cuts Mx,Skirt Steak,$99.37,9,$894.33,
2026-01-10,Super Meats,Beef,$61.49,17,$1045.33,
2025-07-16,Super Meats,Pork,$98.37,18,$1770.66,
2026-03-13,North Butcher,Chicken,$154.33,8,$1234.64,
2026-01-01,Fine Cuts Mx,Beef,$142.22,3,$426.66,
2025-05-12,North Butcher,Ribs,$164.49,4,$657.96,
2025-07-24,Super Meats,Chicken,$253.77,18,$4567.86,
2025-12-28,Fine Cuts Mx,Pork,$116.18,6,$697.08,
2025-08-25,Super Meats,Unknown,$38.48,1,$38.48,
